source,title,description,details
bloomberg,BASF Playing China Matchmaker Should Worry U.S.,The European chemicals giant has form in smoothing relations between powerful trading partners.,BASF Playing China Matchmaker Worry US European chemicals giant form smoothing relations powerful trading partners
bloomberg,Broadcom to Buy CA Technologies for $18.9 Billion in Cash,"Broadcom Inc., a semiconductor maker whose acquisitions have reshaped the chip industry, agreed to acquire CA Technologies for $18.9 billion in cash, branching out into corporate software to diversify its business.",Broadcom Buy CA Technologies 189 Billion Cash Broadcom Inc semiconductor maker whose acquisitions reshaped chip industry agreed acquire CA Technologies 189 billion cash branching corporate software diversify business
bloomberg,Hydro One CEO to Retire as Ontario's Doug Ford Shakes Up Utility,Hydro One Ltd. Chief Executive Officer Mayo Schmidt will retire and the company’s board will be replaced as new Ontario Premier Doug Ford moves to fulfill a promise to shake up the province’s troubled power system in a bid to reduce electricity prices.,Hydro One CEO Retire Ontarios Doug Ford Shakes Utility Hydro One Ltd Chief Executive Officer Mayo Schmidt retire company board replaced new Ontario Premier Doug Ford moves fulfill promise shake province troubled power system bid reduce electricity prices
bloomberg,Jilted Broadcom Goes on the Rebound. Too Bad It’s CA.,Nothing about this union makes sense.,Jilted Broadcom Goes Rebound Bad CA Nothing union makes sense
bloomberg,"Comcast Boosts Sky Bid, Topping Fox Offer in Global Standoff","Comcast Corp. increased its takeover bid for Sky Plc, topping an offer from Rupert Murdoch’s 21st Century Fox Inc. and escalating a global standoff between the media giants.",Comcast Boosts Sky Bid Topping Fox Offer Global Standoff Comcast Corp increased takeover bid Sky Plc topping offer Rupert Murdoch 21st Century Fox Inc escalating global standoff media giants
bloomberg,Crude Crumbles Under Trade War That Imperils Economic Growth,,Crude Crumbles Trade War Imperils Economic Growth None
bloomberg,Bond Traders Now Betting Rate Cut Just as Likely as Hike in 2020,,Bond Traders Betting Rate Cut Likely Hike 2020 None
bloomberg,"Auto Tariffs Could Handcuff the Bank of Canada, Poloz Warns",Canadians shouldn’t expect the Bank of Canada to immediately ride to the rescue if Donald Trump hits the country with auto tariffs.,Auto Tariffs Could Handcuff Bank Canada Poloz Warns Canadians expect Bank Canada immediately ride rescue Donald Trump hits country auto tariffs
bloomberg,Nafta Talks Likely to Wait Beyond July Given Full Agendas,"Hopes for quickly resuming Nafta talks following Mexico’s election earlier this month may prove unrealistic due to scheduling conflicts for the top negotiators, according to three people familiar with the negotiations.",Nafta Talks Likely Wait Beyond July Given Full Agendas Hopes quickly resuming Nafta talks following Mexico election earlier month may prove unrealistic due scheduling conflicts top negotiators according three people familiar negotiations
bloomberg,"Bombardier Rallies to Lead Aerospace on Airbus Deal, Luxury Jets",Bombardier Inc. is flying high -- and analysts from Goldman Sachs Group Inc. to AltaCorp Capital Inc. say the rally has plenty of room to continue.,Bombardier Rallies Lead Aerospace Airbus Deal Luxury Jets Bombardier Inc flying high analysts Goldman Sachs Group Inc AltaCorp Capital Inc say rally plenty room continue
reuters,"After Trump's spending demands, NATO summit turns to Afghanistan","NATO leaders will try on Thursday to move beyond U.S. President Donald Trump's demands for higher defense spending, and focus on ending the long war in Afghanistan, in the second day of a summit in Brussels underscored by transatlantic tensions.",Trumps spending demands NATO summit turns Afghanistan NATO leaders try Thursday move beyond US President Donald Trumps demands higher defense spending focus ending long war Afghanistan second day summit Brussels underscored transatlantic tensions
reuters,Chipmaker Broadcom plans $19 billion deal to buy software company CA,"Broadcom Inc plans to acquire U.S. business software company CA Inc in a $19 billion deal aimed at diversifying Broadcom beyond semiconductors, but Wall Street analysts were immediately skeptical.",Chipmaker Broadcom plans 19 billion deal buy software company CA Broadcom Inc plans acquire US business software company CA Inc 19 billion deal aimed diversifying Broadcom beyond semiconductors Wall Street analysts immediately skeptical
reuters,"Asia stocks sag on trade war fears, dollar buoyant","Asian stocks remained under pressure on Thursday from fears of an escalation in the U.S.-China trade war, while the dollar stood stall after rallying against its peers amid the turmoil in broader markets.",Asia stocks sag trade war fears dollar buoyant Asian stocks remained pressure Thursday fears escalation US China trade war dollar stood stall rallying peers amid turmoil broader markets
reuters,U.S. rights group in dark about government compliance with immigration order,The U.S. rights group that won a court order to force officials to reunite parents who had been separated from their children at the U.S.-Mexico border said on Wednesday it was still unclear if the government had fully met the first deadline.,US rights group dark government compliance immigration order US rights group court order force officials reunite parents separated children US Mexico border said Wednesday still unclear government fully met first deadline
reuters,"Comcast raises bid for Sky to $34 billion, tops Fox's offer","Comcast Corp on Wednesday raised its offer for Britain's Sky in a deal valuing the pay-TV group at $34 billion, topping a raised bid of $32.5 billion from Rupert Murdoch's Twenty-First Century Fox .",Comcast raises bid Sky 34 billion tops Foxs offer Comcast Corp Wednesday raised offer Britains Sky deal valuing pay TV group 34 billion topping raised bid 325 billion Rupert Murdochs Twenty First Century Fox
