source,title,description,details
bloomberg,Son Has a Plan for Yahoo Japan. It Begins With D,Get ready for the internet portal to pile on debt.,Son Plan Yahoo Japan Begins Get ready internet portal pile debt
bloomberg,Germany Blames the Hedge Fund Locusts Again,The country needs to broaden its notion of stakeholder capitalism. Cevian and Elliott have a point about ThyssenKrupp.,Germany Blames Hedge Fund Locusts country needs broaden notion stakeholder capitalism Cevian Elliott point ThyssenKrupp
bloomberg,NATO Can Be Viable With or Without the U.S.,Europeans should call Trump’s bluff by showing him they can take care of their own defense.,NATO Viable Without US Europeans call Trump bluff showing take care defense
bloomberg,Luxury-Home Sales Plunge in Pricey Canada Markets as Rules Bite,"Canada set out to cool a hot housing market, and did it ever.",Luxury Home Sales Plunge Pricey Canada Markets Rules Bite Canada set cool hot housing market ever
bloomberg,"Microsoft Debuts $399 Surface Go Tablet, Taking on Cheaper iPads","Microsoft Corp. is going for the low-end of the personal computing market with a smaller, cheaper Surface Go tablet that takes on Apple Inc.’s cheapest iPads.",Microsoft Debuts 399 Surface Go Tablet Taking Cheaper iPads Microsoft Corp going low end personal computing market smaller cheaper Surface Go tablet takes Apple Inc cheapest iPads
bloomberg,Mueller Seeks to Bar Manafort ‘Selective Prosecution’ Argument,"U.S. Special Counsel Robert Mueller asked a federal judge to block Paul Manafort, President Donald Trump’s former campaign chairman, from arguing at his trial in September that prosecutors are selectively targeting him for vindictive reasons.",Mueller Seeks Bar Manafort Selective Prosecution Argument US Special Counsel Robert Mueller asked federal judge block Paul Manafort President Donald Trump former campaign chairman arguing trial September prosecutors selectively targeting vindictive reasons
bloomberg,Alberta Premier Says Province Likely to Buy Trans Mountain Stake,,Alberta Premier Says Province Likely Buy Trans Mountain Stake None
bloomberg,May Fights to Contain Brexit Crisis After Key Ministers Quit,Prime Minister Theresa May battled to stave off a full-blown crisis after three ministers quit within 24 hours to protest her Brexit plan.,May Fights Contain Brexit Crisis Key Ministers Quit Prime Minister Theresa May battled stave full blown crisis three ministers quit within 24 hours protest Brexit plan
bloomberg,TD Speeds Up Junior Bankers' Promotions to Attract Young Talent,Toronto-Dominion Bank is speeding up promotion opportunities for junior investment bankers to retain young talent in what it describes as “an increasingly competitive environment across North America.”,TD Speeds Junior Bankers Promotions Attract Young Talent Toronto Dominion Bank speeding promotion opportunities junior investment bankers retain young talent describes “an increasingly competitive environment across North America”
bloomberg,"Shell Ramps Up in Kitimat, Raising Canada’s $30 Billion LNG Hopes",A flurry of activity in a remote Canadian town is raising optimism that Royal Dutch Shell Plc and its partners are ready to go ahead with the nation’s largest infrastructure project: a C$40 billion ($30 billion) liquefied natural gas terminal that could at la…,Shell Ramps Kitimat Raising Canada 30 Billion LNG Hopes flurry activity remote Canadian town raising optimism Royal Dutch Shell Plc partners ready go ahead nation largest infrastructure project C40 billion 30 billion liquefied natural gas terminal could la…
reuters,"Asia shares ease as trade war fears return, pound bewildered by politics","Asian shares reversed early gains on Tuesday as anxieties about the Sino-U.S. trade war recast their long shadow over investor sentiment, while several high-profile resignations from Britain's government kept sterling on the defensive.",Asia shares ease trade war fears return pound bewildered politics Asian shares reversed early gains Tuesday anxieties Sino US trade war recast long shadow investor sentiment several high profile resignations Britains government kept sterling defensive
reuters,Takeda gets key U.S. regulatory approval to buy Shire,Japan's Takeda Pharmaceutical Co Ltd said on Tuesday it received a key U.S. regulatory approval for its $62 billion deal to buy London-listed Shire Plc.,Takeda gets key US regulatory approval buy Shire Japans Takeda Pharmaceutical Co Ltd said Tuesday received key US regulatory approval 62 billion deal buy London listed Shire Plc
