source,title,description,details
bloomberg,Northrop's CEO to Depart Next Year as Defense Giant Elevates COO,,Northrops CEO Depart Next Year Defense Giant Elevates COO None
bloomberg,Apple Announces $300 Million China Clean Energy Fund,"Apple Inc., expanding its environmental efforts, announced a $300 million fund to promote clean energy in China.",Apple Announces 300 Million China Clean Energy Fund Apple Inc expanding environmental efforts announced 300 million fund promote clean energy China
bloomberg,J&J Jury Awards $4.14 Billion Punitive Damages Over Talc Cancer,Johnson & Johnson must pay $4.14 billion in punitive damages to women who claimed asbestos in the company’s talc products caused them to develop ovarian cancer.,JJ Jury Awards 414 Billion Punitive Damages Talc Cancer Johnson Johnson must pay 414 billion punitive damages women claimed asbestos company talc products caused develop ovarian cancer
bloomberg,AT&T Vows to Take Time Warner Case to Supreme Court If Necessary,"AT&T Inc., facing a renewed Justice Department attack on its purchase of Time Warner Inc., said it would take the fight all the way to the U.S. Supreme Court if necessary.",ATT Vows Take Time Warner Case Supreme Court Necessary ATT Inc facing renewed Justice Department attack purchase Time Warner Inc said would take fight way US Supreme Court necessary
bloomberg,Is the Justice Department Ready for Prime Time This Time?,"It’s hard to imagine that a month after the DOJ lost its case against AT&T in sweeping fashion, it’s ready to try again.",Justice Department Ready Prime Time Time hard imagine month DOJ lost case ATT sweeping fashion ready try
bloomberg,Cheating Isn’t Going to Help China Win,Skirting WTO rules will only slow the country’s technological drive.,Cheating Going Help China Win Skirting WTO rules slow country technological drive
bloomberg,"After Meeting an Unpredictable Trump, NATO Lives to Fight Again",,Meeting Unpredictable Trump NATO Lives Fight None
bloomberg,Meghan Markle's Aritzia Wardrobe Helps Company's Earnings,A nod from the Duchess of Sussex is helping Aritzia Inc. attract global exposure.,Meghan Markles Aritzia Wardrobe Helps Companys Earnings nod Duchess Sussex helping Aritzia Inc attract global exposure
bloomberg,"Toronto’s Rental Frenzy Spurs High-Rise Dog Park, Fleet of Teslas",,Toronto Rental Frenzy Spurs High Rise Dog Park Fleet Teslas None
bloomberg,"Big Money Tests Marijuana Waters, With Hedge Funds Leading Charge",Navy Capital’s one-room office in midtown Manhattan could probably fit in the coat closets of many of its competitors. But the hedge fund’s digs belie the firm’s success in betting on something few of its peers will touch: cannabis.,Big Money Tests Marijuana Waters Hedge Funds Leading Charge Navy Capital one room office midtown Manhattan could probably fit coat closets many competitors hedge fund digs belie firm success betting something peers touch cannabis
reuters,Asian shares extend recovery on Wall Street gains,"Asian shares were higher on Friday following gains on Wall Street overnight, as concerns over an escalating U.S. trade war with China took a breather.",Asian shares extend recovery Wall Street gains Asian shares higher Friday following gains Wall Street overnight concerns escalating US trade war China took breather
reuters,Justice Department to appeal approval of AT&T acquisition of Time Warner,"The U.S. Justice Department said on Thursday it would appeal a federal judge's approval of AT&T Inc's $85.4 billion acquisition of Time Warner, raising the prospect barely a month after the deal closed that it could be undone.",Justice Department appeal approval ATT acquisition Time Warner US Justice Department said Thursday would appeal federal judges approval ATT Incs 854 billion acquisition Time Warner raising prospect barely month deal closed could undone
reuters,U.S. judge asked to create mental health fund for migrant children,"A civil rights group asked a federal judge on Thursday to order the U.S. government to provide mental health counseling for the around 2,000 immigrant children separated from their parents by officials at the U.S.-Mexican border.",US judge asked create mental health fund migrant children civil rights group asked federal judge Thursday order US government provide mental health counseling around 2000 immigrant children separated parents officials US Mexican border
reuters,Chinese imports to U.S. ports start peaking early amid tariff threat,"Chinese imports to U.S. ports rose more than expected in June, suggesting that some retailers moved up orders to insulate themselves from an intensifying trade war that threatens to send up costs on a growing number of consumer products.",Chinese imports US ports start peaking early amid tariff threat Chinese imports US ports rose expected June suggesting retailers moved orders insulate intensifying trade war threatens send costs growing number consumer products
reuters,Top Twitter users lose 2 percent of followers on average as policy changes,"A Twitter Inc policy change on Thursday to increase the service's credibility cost its 100 most popular users about 2 percent of their followers, on average, according to social media data firm Keyhole.",Top Twitter users lose 2 percent followers average policy changes Twitter Inc policy change Thursday increase services credibility cost 100 popular users 2 percent followers average according social media data firm Keyhole
reuters,"Exclusive: Jeff Bezos plans to charge at least $200,000 for space rides - sources","Jeff Bezos' rocket company plans to charge passengers about $200,000 to $300,000 for its first trips into space next year, two people familiar with its plans told Reuters.",Exclusive Jeff Bezos plans charge least 200000 space rides sources Jeff Bezos rocket company plans charge passengers 200000 300000 first trips space next year two people familiar plans told Reuters
reuters,"Trump blasts UK PM May's Brexit plan, says it puts trade deal in doubt","U.S. President Donald Trump said a free trade deal with Britain might be impossible if it went ahead with Prime Minister Theresa May's proposals for post-Brexit ties with the European Union, in a damaging intervention set to further criticism of her plans.",Trump blasts UK PM Mays Brexit plan says puts trade deal doubt US President Donald Trump said free trade deal Britain might impossible went ahead Prime Minister Theresa Mays proposals post Brexit ties European Union damaging intervention set criticism plans
reuters,Trump ready to help some NATO states buy U.S. arms,U.S. President Donald Trump said on Thursday he was ready to help smaller NATO countries to buy U.S. weapons as he pushed them to spend more on their own defense.,Trump ready help NATO states buy US arms US President Donald Trump said Thursday ready help smaller NATO countries buy US weapons pushed spend defense
reuters,Jury orders J&J to pay $4.7 billion in Missouri asbestos cancer case,"A Missouri jury on Thursday ordered Johnson & Johnson to pay a record $4.69 billion to 22 women who alleged the company's talc-based products, including its baby powder, contain asbestos and caused them to develop ovarian cancer.",Jury orders JJ pay 47 billion Missouri asbestos cancer case Missouri jury Thursday ordered Johnson Johnson pay record 469 billion 22 women alleged companys talc based products including baby powder contain asbestos caused develop ovarian cancer
reuters,"Stormy Daniels arrested in Ohio strip club, but charges dismissed","Stormy Daniels, the porn star who has said she had an affair with U.S. President Donald Trump, was arrested while performing at an Ohio strip on Thursday, but the charges were dismissed and her lawyer called the arrest a politically motivated setup.",Stormy Daniels arrested Ohio strip club charges dismissed Stormy Daniels porn star said affair US President Donald Trump arrested performing Ohio strip Thursday charges dismissed lawyer called arrest politically motivated setup
financial-times,Leon Black sued in dispute over insurance takeover,Apollo founder accused of trying to undermine rival launched by a former employee,Leon Black sued dispute insurance takeover Apollo founder accused trying undermine rival launched former employee
financial-times,China denies US claims of sabotaging North Korea nuclear talks,"Trade war with Washington is a separate issue, says Beijing",China denies US claims sabotaging North Korea nuclear talks Trade war Washington separate issue says Beijing
financial-times,Trump says Brexit blueprint will kill any UK-US trade deal,President’s British tour off to undiplomatic start with barrage against host,Trump says Brexit blueprint kill UK US trade deal President British tour undiplomatic start barrage host
financial-times,Media and tech leaders converge in Sun Valley: in pictures,Industry battles mark gathering organised by Allen & Co,Media tech leaders converge Sun Valley pictures Industry battles mark gathering organised Allen Co
financial-times,US appeals decision approving AT&T-Time Warner deal,Landmark media sector transaction faces new round of litigation,US appeals decision approving ATT Time Warner deal Landmark media sector transaction faces new round litigation
financial-times,MasterCard customers suffer outages around the world,Problems arise just weeks after rival Visa hit technical problems,MasterCard customers suffer outages around world Problems arise weeks rival Visa hit technical problems
financial-times,A trade war risks all Donald Trump’s economic successes,The very voters who put the US president in the White House will be   hurt by tariffs,trade war risks Donald Trump economic successes voters put US president White House hurt tariffs
financial-times,Trump claims Nato allies have agreed to spending rise,Macron appears to contradict US president on targets for defence outlays,Trump claims Nato allies agreed spending rise Macron appears contradict US president targets defence outlays
financial-times,China and the world: how Beijing spreads the message,More than 200 Chinese-language publications reprint content from state media. The Communist party believes the coverage helps mute opposition from the diaspora,China world Beijing spreads message 200 Chinese language publications reprint content state media Communist party believes coverage helps mute opposition diaspora
financial-times,Tower of secrets: the Russian money behind a Donald Trump skyscraper,The Trump Toronto reveals links between shadowy post-Soviet wealth and a future president,Tower secrets Russian money behind Donald Trump skyscraper Trump Toronto reveals links shadowy post Soviet wealth future president
the-economist,Why art exhibitions are returning to domestic settings,A show in the new Kettle’s Yard space highlights why the traditional gallery aesthetic is falling out of favour,art exhibitions returning domestic settings show new Kettle Yard space highlights traditional gallery aesthetic falling favour
the-economist,Arab states are losing the race for technological development,"Though rich, Gulf oil producers score poorly on key measures of innovation",Arab states losing race technological development Though rich Gulf oil producers score poorly key measures innovation
the-economist,The robots coming for your job,A new report on which country's workers are most at risk,robots coming job new report countrys workers risk
the-economist,A new Brexit plan creates fresh depths of chaos,And the worst is yet to come,new Brexit plan creates fresh depths chaos worst yet come
the-economist,The American president lambasts his allies,But at least he endorses a tough communique,American president lambasts allies least endorses tough communique
the-economist,A British traveller’s travelogue,"To gain a better understanding of Romany gypsies, Damian Le Bas follows their beloved travelling routes",British traveller travelogue gain better understanding Romany gypsies Damian Le Bas follows beloved travelling routes
the-economist,Courts slap down the Trump administration’s immigration policies,The president returns to a policy he vowed he would end,Courts slap Trump administration immigration policies president returns policy vowed would end
the-economist,China frees the widow of a Nobel peace-prize winner,It shows no sign of easing up in its treatment of other human-rights advocates,China frees widow Nobel peace prize winner shows sign easing treatment human rights advocates
the-economist,Open Future Gender,"The Economist offers authoritative insight and opinion on international news, politics, business, finance, science, technology and the connections between them.",Open Future Gender Economist offers authoritative insight opinion international news politics business finance science technology connections
