source,title,description,details
bloomberg,A Speed Race for Soybeans,Also fake tenders and index exclusion.,Speed Race Soybeans Also fake tenders index exclusion
bloomberg,Brexit Once Inspired Trump. Now It’s a Problem for Him.,The U.K.’s populist triumph is now in doubt. What about the U.S. version?,Brexit Inspired Trump Problem UK populist triumph doubt US version
bloomberg,Apple Debuts Upgraded Pro Laptops Ahead of Fall Product Blitz,"Apple Inc. released an upgraded MacBook Pro line Thursday that’s faster and has more features, targeting its loyal base of professional users like app developers and movie editors.",Apple Debuts Upgraded Pro Laptops Ahead Fall Product Blitz Apple Inc released upgraded MacBook Pro line Thursday faster features targeting loyal base professional users like app developers movie editors
bloomberg,Ryan Says Trump's Trade Policies Put U.S. Economy at Risk,"House Speaker Paul Ryan drew a stark difference between his vision for trade and that of President Donald Trump, rejecting tariffs and warning that pulling out of trade agreements is a threat to the U.S. economy.",Ryan Says Trumps Trade Policies Put US Economy Risk House Speaker Paul Ryan drew stark difference vision trade President Donald Trump rejecting tariffs warning pulling trade agreements threat US economy
bloomberg,FBI’s Strzok Faults Hearing as ‘Victory Notch in Putin’s Belt’,"Peter Strzok, the FBI agent who exchanged anti-Trump texts with a bureau lawyer, denied he did anything improper, as he faced a hearing called by Republican lawmakers who say he personifies bias that tainted the agency’s Russia investigation early on.",FBI Strzok Faults Hearing Victory Notch Putin Belt Peter Strzok FBI agent exchanged anti Trump texts bureau lawyer denied anything improper faced hearing called Republican lawmakers say personifies bias tainted agency Russia investigation early
bloomberg,"Toronto’s Rental Frenzy Spurs High-Rise Dog Park, Fleet of Teslas",,Toronto Rental Frenzy Spurs High Rise Dog Park Fleet Teslas None
bloomberg,Bank of Canada Goes Back to Basics With Economy Running Hot,,Bank Canada Goes Back Basics Economy Running Hot None
bloomberg,Trump Gives Last-Minute NATO Backing After Sowing Summit Discord,"President Donald Trump affirmed the U.S. commitment to NATO, but only after dragging top allies -- Germany in particular -- through a chaotic two days of insults, accusations and demands for more military spending.",Trump Gives Last Minute NATO Backing Sowing Summit Discord President Donald Trump affirmed US commitment NATO dragging top allies Germany particular chaotic two days insults accusations demands military spending
bloomberg,"Big Money Tests Marijuana Waters, With Hedge Funds Leading Charge",Navy Capital’s one-room office in midtown Manhattan could probably fit in the coat closets of many of its competitors. But the hedge fund’s digs belie the firm’s success in betting on something few of its peers will touch: cannabis.,Big Money Tests Marijuana Waters Hedge Funds Leading Charge Navy Capital one room office midtown Manhattan could probably fit coat closets many competitors hedge fund digs belie firm success betting something peers touch cannabis
bloomberg,Hydro One Faces ‘Ontario Overhang’ After Ford Ousts Board,"Hydro One Ltd.’s shares could suffer from an “Ontario overhang” after new Premier Doug Ford fulfilled an election promise to shake up the utility’s executive and board, analysts say.",Hydro One Faces Ontario Overhang Ford Ousts Board Hydro One Ltd shares could suffer “Ontario overhang” new Premier Doug Ford fulfilled election promise shake utility executive board analysts say
reuters,"United States '100 percent committed to NATO', Mattis says after summit","U.S. Defense Secretary Jim Mattis said on Thursday that the United States fully supported NATO, saying it had emerged stronger from a two-day summit thanks to reforms and commitments made by allies to their common defense.",United States 100 percent committed NATO Mattis says summit US Defense Secretary Jim Mattis said Thursday United States fully supported NATO saying emerged stronger two day summit thanks reforms commitments made allies common defense
reuters,London mayor says anti-Trump protests must be peaceful,"Protests in London against the visit by President Donald Trump must be ""peaceful and good-spirited"", London mayor Sadiq Khan said on Thursday after the U.S. leader landed in the British capital.",London mayor says anti Trump protests must peaceful Protests London visit President Donald Trump must peaceful good spirited London mayor Sadiq Khan said Thursday US leader landed British capital
reuters,Broadcom loses $19 billion in market value after bid to buy CA,"Chipmaker Broadcom Inc's surprise bid to buy software company CA Inc for $18.9 billion wiped off the same amount from its market value on Thursday, with investors and analysts struggling to find a clear reason for the deal.",Broadcom loses 19 billion market value bid buy CA Chipmaker Broadcom Incs surprise bid buy software company CA Inc 189 billion wiped amount market value Thursday investors analysts struggling find clear reason deal
reuters,Beijing urges U.S. firms in China to lobby Washington over trade war,"China on Thursday said foreign firms operating in China would suffer in a trade war, urging U.S. companies to lobby their government to protect their interests, and said no talks to end the impasse were currently under way.",Beijing urges US firms China lobby Washington trade war China Thursday said foreign firms operating China would suffer trade war urging US companies lobby government protect interests said talks end impasse currently way
reuters,China says 'bully' United States started a trade war,"The United States has started a trade war and China will defend itself, Chinese Vice Minister of Commerce Wang Shouwen said on Thursday, adding that the United States was a bully and must ""take the gun"" away to smoothe the way for talks.",China says bully United States started trade war United States started trade war China defend Chinese Vice Minister Commerce Wang Shouwen said Thursday adding United States bully must take gun away smoothe way talks
reuters,"Trump, after questioning May's Brexit plan, arrives in 'hot spot' Britain","U.S. President Donald Trump arrived in ""hot spot"" Britain on Thursday after casting doubt on Prime Minister Theresa May's plans for leaving the European Union and with protests planned across the country where he says the people like him a lot.",Trump questioning Mays Brexit plan arrives hot spot Britain US President Donald Trump arrived hot spot Britain Thursday casting doubt Prime Minister Theresa Mays plans leaving European Union protests planned across country says people like lot
reuters,"Wall Street rebounds as technology, industrial stocks rise",Technology and industrial stocks led Wall Street higher on Thursday as some big deals and optimism about the earnings season helped offset fears about a U.S-China trade war.,Wall Street rebounds technology industrial stocks rise Technology industrial stocks led Wall Street higher Thursday big deals optimism earnings season helped offset fears US China trade war
reuters,Sky shares leap as Comcast and Fox lock horns in bid battle,"Sky shares leapt to an 18-year high on Thursday as investors bet a transatlantic battle for the European pay-TV group had further to run, after Comcast's $34 billion bid trumped an offer from Rupert Murdoch made just hours earlier.",Sky shares leap Comcast Fox lock horns bid battle Sky shares leapt 18 year high Thursday investors bet transatlantic battle European pay TV group run Comcasts 34 billion bid trumped offer Rupert Murdoch made hours earlier
reuters,U.S. reopens 1955 case on black teen Emmett Till's murder,"The U.S. government has reopened an investigation into the 1955 killing of black teenager Emmett Till in Mississippi, saying it had discovered new information in the case, which helped spark the nation's civil rights movement.",US reopens 1955 case black teen Emmett Tills murder US government reopened investigation 1955 killing black teenager Emmett Till Mississippi saying discovered new information case helped spark nations civil rights movement
reuters,Trump claims NATO victory after 'go it alone' ultimatum,"Donald Trump claimed a personal victory at a NATO summit on Thursday after telling European allies to increase spending or lose Washington's support, an ultimatum that forced leaders to huddle in a crisis session with the U.S. president.",Trump claims NATO victory go alone ultimatum Donald Trump claimed personal victory NATO summit Thursday telling European allies increase spending lose Washingtons support ultimatum forced leaders huddle crisis session US president
financial-times,Rust spots emerge in US manufacturing surge,Midwest factories fear chilling effect of tariffs as revival gathers pace,Rust spots emerge US manufacturing surge Midwest factories fear chilling effect tariffs revival gathers pace
financial-times,Trump claims Nato allies have agreed to spending rise,Macron appears to contradict US president on targets for defence outlays,Trump claims Nato allies agreed spending rise Macron appears contradict US president targets defence outlays
financial-times,Theresa May unveils plans for softer Brexit,,Theresa May unveils plans softer Brexit None
financial-times,US antitrust chief signals comfort with tech deals,Trump appointee says ‘great efficiencies’ can come from large groups buying smaller rivals,US antitrust chief signals comfort tech deals Trump appointee says great efficiencies come large groups buying smaller rivals
financial-times,The drug pricing playbook: how pharma companies keep costs high,Pfizer faced presidential fire for its price rises but others use more subtle tactics,drug pricing playbook pharma companies keep costs high Pfizer faced presidential fire price rises others use subtle tactics
