source,title,description,details
bloomberg,Wanted: A Nurse for Fortis Who Won’t Kill It,,Wanted Nurse Fortis Kill None
bloomberg,"Kavanaugh Resembles Roberts, But They’re Hardly Clones","The chief justice has encountered some buyers’ remorse, but that won’t stop the confirmation of Trump’s latest Supreme Court pick.",Kavanaugh Resembles Roberts Hardly Clones chief justice encountered buyers remorse stop confirmation Trump latest Supreme Court pick
bloomberg,"Microsoft Debuts $399 Surface Go Tablet, Taking on Cheaper iPads","Microsoft Corp. is going for the low-end of the personal computing market with a smaller, cheaper Surface Go tablet that takes on Apple Inc.’s cheapest iPads.",Microsoft Debuts 399 Surface Go Tablet Taking Cheaper iPads Microsoft Corp going low end personal computing market smaller cheaper Surface Go tablet takes Apple Inc cheapest iPads
bloomberg,Trump Loses Bid to Modify Settlement Over Child Detention,The Trump administration lost a bid to get around an agreement that prevents the U.S. from locking up underage immigrants indefinitely in Immigration and Customs Enforcement detention facilities.,Trump Loses Bid Modify Settlement Child Detention Trump administration lost bid get around agreement prevents US locking underage immigrants indefinitely Immigration Customs Enforcement detention facilities
bloomberg,Erdogan Names Son-in-Law as Treasury and Finance Minister,,Erdogan Names Son Law Treasury Finance Minister None
bloomberg,Alberta Premier Says Province Likely to Buy Trans Mountain Stake,,Alberta Premier Says Province Likely Buy Trans Mountain Stake None
bloomberg,May Fights to Contain Brexit Crisis After Key Ministers Quit,Prime Minister Theresa May battled to stave off a full-blown crisis after three ministers quit within 24 hours to protest her Brexit plan.,May Fights Contain Brexit Crisis Key Ministers Quit Prime Minister Theresa May battled stave full blown crisis three ministers quit within 24 hours protest Brexit plan
bloomberg,TD Speeds Up Junior Bankers' Promotions to Attract Young Talent,Toronto-Dominion Bank is speeding up promotion opportunities for junior investment bankers to retain young talent in what it describes as “an increasingly competitive environment across North America.”,TD Speeds Junior Bankers Promotions Attract Young Talent Toronto Dominion Bank speeding promotion opportunities junior investment bankers retain young talent describes “an increasingly competitive environment across North America”
bloomberg,"Shell Ramps Up in Kitimat, Raising Canada’s $30 Billion LNG Hopes",A flurry of activity in a remote Canadian town is raising optimism that Royal Dutch Shell Plc and its partners are ready to go ahead with the nation’s largest infrastructure project: a C$40 billion ($30 billion) liquefied natural gas terminal that could at la…,Shell Ramps Kitimat Raising Canada 30 Billion LNG Hopes flurry activity remote Canadian town raising optimism Royal Dutch Shell Plc partners ready go ahead nation largest infrastructure project C40 billion 30 billion liquefied natural gas terminal could la…
bloomberg,Bank of Canada’s Expected Hike Is Six Months in Making for Poloz,Stephen Poloz can’t hold off raising interest rates any longer.,Bank Canada Expected Hike Six Months Making Poloz Stephen Poloz hold raising interest rates longer
reuters,Washington insider Kavanaugh boasts conservative credentials,"Brett Kavanaugh, the consummate Washington insider picked by President Donald Trump on Monday for a lifetime seat on the U.S. Supreme Court, has viewed business regulations with skepticism in his 12 years as a judge and taken conservative positions on some di…",Washington insider Kavanaugh boasts conservative credentials Brett Kavanaugh consummate Washington insider picked President Donald Trump Monday lifetime seat US Supreme Court viewed business regulations skepticism 12 years judge taken conservative positions di…
reuters,Judge rejects Trump request for long-term detention of immigrant children,"A U.S. federal judge on Monday rejected the Trump administration's request to allow long-term detention of illegal immigrant children, a setback for President Donald Trump's executive order to end the separation of immigrant families.",Judge rejects Trump request long term detention immigrant children US federal judge Monday rejected Trump administrations request allow long term detention illegal immigrant children setback President Donald Trumps executive order end separation immigrant families
reuters,"Do not blame OPEC, oil producer group says of Trump criticism","The president of OPEC defended the oil producer group on Monday against U.S. President Donald Trump’s recent demands for higher oil output, saying OPEC does not shoulder the blame.",blame OPEC oil producer group says Trump criticism president OPEC defended oil producer group Monday US President Donald Trump recent demands higher oil output saying OPEC shoulder blame
reuters,"Asia shares extend rally, pound bewildered by politics","Asian shares sought to rally for a third session on Tuesday as hopes for upbeat corporate earnings buoyed Wall Street, while several high-profile resignations from Britain's government kept sterling on the defensive.",Asia shares extend rally pound bewildered politics Asian shares sought rally third session Tuesday hopes upbeat corporate earnings buoyed Wall Street several high profile resignations Britains government kept sterling defensive
reuters,Trump picks conservative judge Kavanaugh for Supreme Court,"President Donald Trump on Monday announced Brett Kavanaugh as his nominee for the U.S. Supreme Court, picking a conservative federal appeals court judge who survived a previous tough Senate confirmation battle and helped investigate Democratic former Presiden…",Trump picks conservative judge Kavanaugh Supreme Court President Donald Trump Monday announced Brett Kavanaugh nominee US Supreme Court picking conservative federal appeals court judge survived previous tough Senate confirmation battle helped investigate Democratic former Presiden…
reuters,Euroskeptic British ministers quit in blow to May's Brexit plan,"Prime Minister Theresa May's foreign minister and Brexit negotiator quit on Monday in protest at her plans to keep close trade ties with the European Union after Britain leaves the bloc, stirring rebellion in her party's ranks.",Euroskeptic British ministers quit blow Mays Brexit plan Prime Minister Theresa Mays foreign minister Brexit negotiator quit Monday protest plans keep close trade ties European Union Britain leaves bloc stirring rebellion partys ranks
reuters,Trump picks conservative Kavanaugh as Supreme Court nominee: NBC,"U.S. President Donald Trump has chosen conservative federal appeals court Judge Brett Kavanaugh as his nominee for U.S. Supreme Court Justice, NBC News reported on Monday, just before the official White House announcement.",Trump picks conservative Kavanaugh Supreme Court nominee NBC US President Donald Trump chosen conservative federal appeals court Judge Brett Kavanaugh nominee US Supreme Court Justice NBC News reported Monday official White House announcement
reuters,"Turkey's Erdogan sworn in with new powers, names son-in-law finance minister","President Tayyip Erdogan appointed his son-in-law as Turkey's finance minister on Monday hours after he was sworn in with sweeping new executive powers, promising a ""strong government and a strong Turkey"".",Turkeys Erdogan sworn new powers names son law finance minister President Tayyip Erdogan appointed son law Turkeys finance minister Monday hours sworn sweeping new executive powers promising strong government strong Turkey
reuters,UK PM May appoints Jeremy Hunt as new foreign minister,British Prime Minister Theresa May appointed Jeremy Hunt as foreign minister on Monday after predecessor Boris Johnson resigned in protest at the government's plans for a close trading relationship with the European Union.,UK PM May appoints Jeremy Hunt new foreign minister British Prime Minister Theresa May appointed Jeremy Hunt foreign minister Monday predecessor Boris Johnson resigned protest governments plans close trading relationship European Union
reuters,Factbox: Turkey's new cabinet under powerful executive presidency,"Following are the ministers and vice president in Turkey's new executive presidential system, announced by President Tayyip Erdogan at a news conference on Monday.",Factbox Turkeys new cabinet powerful executive presidency Following ministers vice president Turkeys new executive presidential system announced President Tayyip Erdogan news conference Monday
financial-times,Mario Draghi delivers bullish assessment of eurozone prospects,ECB chief confident that strategy measures are boosting growth and inflation,Mario Draghi delivers bullish assessment eurozone prospects ECB chief confident strategy measures boosting growth inflation
financial-times,Mattis battles to hold line with Trump as Nato summit looms,US defence secretary appears increasingly at odds with the White House,Mattis battles hold line Trump Nato summit looms US defence secretary appears increasingly odds White House
financial-times,Apple and Alphabet face US house panel questioning on privacy,Queries show that political concerns touched off by Facebook furore are spreading,Apple Alphabet face US house panel questioning privacy Queries show political concerns touched Facebook furore spreading
financial-times,Trump nominates conservative Kavanaugh to Supreme Court,Decision could cement conservative majority on America’s highest court,Trump nominates conservative Kavanaugh Supreme Court Decision could cement conservative majority America highest court
financial-times,Masayoshi Son seeks to convince world of SoftBank’s true worth,Billionaire hopes telecoms spin-off will help show investors his group is undervalued,Masayoshi Son seeks convince world SoftBank true worth Billionaire hopes telecoms spin help show investors group undervalued
financial-times,‘Big four’ paid millions to advise Brussels on tax policy,European Commission contracts fuel concerns over accounting firms’ conflicts of interest,Big four paid millions advise Brussels tax policy European Commission contracts fuel concerns accounting firms conflicts interest
financial-times,Erdogan names son-in-law to lead Turkey’s finance ministry,Berat Albayrak role unlikely to be welcomed by investors anxious over economy,Erdogan names son law lead Turkey finance ministry Berat Albayrak role unlikely welcomed investors anxious economy
financial-times,Theresa May now faces the second Battle of Brexit,The resignations of Johnson and Davis leave government fighting for an exit plan,Theresa May faces second Battle Brexit resignations Johnson Davis leave government fighting exit plan
financial-times,Trump hits out at Germany ahead of Nato summit,,Trump hits Germany ahead Nato summit None
financial-times,Boris Johnson quits as pressure on Theresa May mounts,Foreign secretary follows David Davis in resigning from cabinet,Boris Johnson quits pressure Theresa May mounts Foreign secretary follows David Davis resigning cabinet
the-economist,London has excellent universities—but unhappy students,Why are the capital’s undergraduates gloomier than those in other big cities?,London excellent universities—but unhappy students capital undergraduates gloomier big cities
the-economist,Our second week of essays on transgender identities,Why The Economist seeks to uphold the liberal value of open debate,second week essays transgender identities Economist seeks uphold liberal value open debate
the-economist,Jean-Louis Tauran opposed the Gulf war and mended fences with Islam,His fears for the Christian population of the Middle East proved well-founded,Jean Louis Tauran opposed Gulf war mended fences Islam fears Christian population Middle East proved well founded
the-economist,Why bitcoin uses so much energy,Its consumption is roughly the same as Ireland’s,bitcoin uses much energy consumption roughly Ireland
the-economist,Boris goes,The revolt gathers against Theresa May’s Brexit plans,Boris goes revolt gathers Theresa May Brexit plans
the-economist,Meet Dominic Raab: the new Brexit boss,A former housing minister takes over the Brexit negotiations after David Davis’s departure,Meet Dominic Raab new Brexit boss former housing minister takes Brexit negotiations David Davis departure
