source,title,description,details
bloomberg,"OPEC Output May Be Stretched to Limit by Supply Crises, IEA Says","OPEC’s Gulf members may need to pump almost as much crude as they can to cover swelling supply losses from Venezuela to Iran and beyond, the International Energy Agency said.",OPEC Output May Stretched Limit Supply Crises IEA Says OPEC Gulf members may need pump almost much crude cover swelling supply losses Venezuela Iran beyond International Energy Agency said
bloomberg,France’s World Cup Run Won’t Help Macron’s Score,The French president promised to achieve his economic goals; public patience is running out.,France World Cup Run Help Macron Score French president promised achieve economic goals public patience running
bloomberg,Greek Bonds Need to Say ‘Carpe Diem’,"The window for a Greek bond sale looks open, and it doesn’t have to stay that way.",Greek Bonds Need Say Carpe Diem window Greek bond sale looks open stay way
bloomberg,Papa John's Chairman Schnatter Quits After Racial Remarks,"Papa John’s International Inc.’s Chairman John Schnatter resigned, after coming under fire over controversial comments that battered the shares of the pizza chain he founded.",Papa Johns Chairman Schnatter Quits Racial Remarks Papa John International Inc Chairman John Schnatter resigned coming fire controversial comments battered shares pizza chain founded
bloomberg,"U.S. Yield Curve Will Invert in Mid-2019, Morgan Stanley Says","The Federal Reserve next March will probably map out an end to the contraction in its balance sheet, helping support longer-dated bond yields, which will drop below those on shorter-dated notes by the middle of 2019, according to Morgan Stanley.",US Yield Curve Invert Mid 2019 Morgan Stanley Says Federal Reserve next March probably map end contraction balance sheet helping support longer dated bond yields drop shorter dated notes middle 2019 according Morgan Stanley
bloomberg,Hydro One CEO to Retire as Ontario's Doug Ford Shakes Up Utility,Hydro One Ltd. Chief Executive Officer Mayo Schmidt will retire and the company’s board will be replaced as new Ontario Premier Doug Ford moves to fulfill a promise to shake up the province’s troubled power system in a bid to reduce electricity prices.,Hydro One CEO Retire Ontarios Doug Ford Shakes Utility Hydro One Ltd Chief Executive Officer Mayo Schmidt retire company board replaced new Ontario Premier Doug Ford moves fulfill promise shake province troubled power system bid reduce electricity prices
bloomberg,"China, U.S. Hint at Chance for Talks After Trump's Tariff Threat",Chinese and U.S. officials have raised the prospect of resuming talks over trade between the two nations after President Donald Trump ratcheted up the pressure by announcing a huge new round of potential tariffs.,China US Hint Chance Talks Trumps Tariff Threat Chinese US officials raised prospect resuming talks trade two nations President Donald Trump ratcheted pressure announcing huge new round potential tariffs
bloomberg,"Auto Tariffs Could Handcuff the Bank of Canada, Poloz Warns",Canadians shouldn’t expect the Bank of Canada to immediately ride to the rescue if Donald Trump hits the country with auto tariffs.,Auto Tariffs Could Handcuff Bank Canada Poloz Warns Canadians expect Bank Canada immediately ride rescue Donald Trump hits country auto tariffs
bloomberg,Nafta Talks Likely to Wait Beyond July Given Full Agendas,"Hopes for quickly resuming Nafta talks following Mexico’s election earlier this month may prove unrealistic due to scheduling conflicts for the top negotiators, according to three people familiar with the negotiations.",Nafta Talks Likely Wait Beyond July Given Full Agendas Hopes quickly resuming Nafta talks following Mexico election earlier month may prove unrealistic due scheduling conflicts top negotiators according three people familiar negotiations
bloomberg,"Bombardier Rallies to Lead Aerospace on Airbus Deal, Luxury Jets",Bombardier Inc. is flying high -- and analysts from Goldman Sachs Group Inc. to AltaCorp Capital Inc. say the rally has plenty of room to continue.,Bombardier Rallies Lead Aerospace Airbus Deal Luxury Jets Bombardier Inc flying high analysts Goldman Sachs Group Inc AltaCorp Capital Inc say rally plenty room continue
reuters,Kremlin rejects Trump's description of Germany as Russian 'captive',"The Kremlin on Thursday rejected U.S. President Donald Trump's description of Germany as a ""captive"" of Russia due to its energy reliance, saying Moscow and Berlin were equally dependent on each other.",Kremlin rejects Trumps description Germany Russian captive Kremlin Thursday rejected US President Donald Trumps description Germany captive Russia due energy reliance saying Moscow Berlin equally dependent
reuters,U.S. President to speak to reporters shortly after NATO summit,"U.S. President Donald Trump will speak to reporters shortly following the NATO summit in Brussels, a White House spokesman said on Thursday.",US President speak reporters shortly NATO summit US President Donald Trump speak reporters shortly following NATO summit Brussels White House spokesman said Thursday
reuters,U.S. must convince judge it has reunited migrants under five,The U.S. government must convince a judge on Thursday that it has complied with a court order for reuniting the youngest migrant children who were separated from their parents by U.S. officials after they crossed the U.S.-Mexico border.,US must convince judge reunited migrants five US government must convince judge Thursday complied court order reuniting youngest migrant children separated parents US officials crossed US Mexico border
reuters,Trump tirade sends NATO leaders into crisis session,"U.S. President Donald Trump launched a fresh attack on NATO allies' failure to raise defense spending on Thursday, prompting leaders to huddle in a special session excluding other summit participants, sources told Reuters.",Trump tirade sends NATO leaders crisis session US President Donald Trump launched fresh attack NATO allies failure raise defense spending Thursday prompting leaders huddle special session excluding summit participants sources told Reuters
reuters,Trump says he wants shorter deadline for NATO spending targets: sources,"U.S. President Trump significantly toughened his tone on NATO defense spending at a summit on Thursday, singling out Germany, Spain and Belgium in a closed-door session in Brussels, two sources said.",Trump says wants shorter deadline NATO spending targets sources US President Trump significantly toughened tone NATO defense spending summit Thursday singling Germany Spain Belgium closed door session Brussels two sources said
reuters,China does not need U.S. soybeans for state reserves: Sinograin official,"China can fully meet the needs of its state soybean reserves without importing from the United States, an official with the state stockpiler told state TV on Thursday.",China need US soybeans state reserves Sinograin official China fully meet needs state soybean reserves without importing United States official state stockpiler told state TV Thursday
reuters,"Trump did not threaten to pull out of NATO, despite tough words: sources","U.S. President Donald Trump did not threaten to pull out of NATO at the second day of a summit on Thursday, despite a tough rebuke of allies for spending too little on defense, two NATO sources told Reuters.",Trump threaten pull NATO despite tough words sources US President Donald Trump threaten pull NATO second day summit Thursday despite tough rebuke allies spending little defense two NATO sources told Reuters
reuters,Trump blasts NATO in closed-door summit session: sources,"U.S. President Donald Trump went on a fresh attack against NATO allies' spending and European trade practices in a closed-door session at a NATO summit on Thursday, two sources told Reuters.",Trump blasts NATO closed door summit session sources US President Donald Trump went fresh attack NATO allies spending European trade practices closed door session NATO summit Thursday two sources told Reuters
reuters,Trade and tea with Queen for Trump on visit to Britain in 'turmoil',"President Donald Trump flies into Britain on Thursday for talks with the leader of the United States' closest ally in Europe and tea with Queen Elizabeth, against a backdrop of protests and what he described as the country's turmoil over Brexit.",Trade tea Queen Trump visit Britain turmoil President Donald Trump flies Britain Thursday talks leader United States closest ally Europe tea Queen Elizabeth backdrop protests described countrys turmoil Brexit
reuters,Beijing urges U.S. firms in China to lobby Washington over trade war,"China on Thursday said foreign firms operating in China would suffer in a trade war, urging U.S. companies to lobby their government to protect their interests, and said no talks to end the impasse were currently under way.",Beijing urges US firms China lobby Washington trade war China Thursday said foreign firms operating China would suffer trade war urging US companies lobby government protect interests said talks end impasse currently way
financial-times,US antitrust chief signals comfort with tech deals,Trump appointee says ‘great efficiencies’ can come from large groups buying smaller rivals,US antitrust chief signals comfort tech deals Trump appointee says great efficiencies come large groups buying smaller rivals
financial-times,The drug pricing playbook: how pharma companies keep costs high,Pfizer faced presidential fire for its price rises but others use more subtle tactics,drug pricing playbook pharma companies keep costs high Pfizer faced presidential fire price rises others use subtle tactics
financial-times,Trump knows Europe needs America more than America needs Europe,The most lethal demagogue is one with a grasp of underlying reality,Trump knows Europe needs America America needs Europe lethal demagogue one grasp underlying reality
financial-times,China and the world: how Beijing spreads the message,More than 200 Chinese-language publications reprint content from state media. The Communist party believes the coverage helps mute opposition from the diaspora,China world Beijing spreads message 200 Chinese language publications reprint content state media Communist party believes coverage helps mute opposition diaspora
financial-times,IEA warns spare oil capacity to be ‘stretched to limit’,Crude prices rally after steepest one-day fall in two years,IEA warns spare oil capacity stretched limit Crude prices rally steepest one day fall two years
financial-times,Trump repeats attack on Germany on second day of Nato summit,"US ‘pays tens of Billions of Dollars too much to subsidize Europe’, president writes on Twitter",Trump repeats attack Germany second day Nato summit US pays tens Billions Dollars much subsidize Europe president writes Twitter
financial-times,Unilever shareholders warn on HQ move to Netherlands,Top investor says leaving the FTSE 100 index could lead to forced selling of stock,Unilever shareholders warn HQ move Netherlands Top investor says leaving FTSE 100 index could lead forced selling stock
financial-times,Theresa May ditches hopes of keeping City in tight tie-up with EU,White paper discards ‘mutual recognition’ in favour of looser ties after Brexit,Theresa May ditches hopes keeping City tight tie EU White paper discards mutual recognition favour looser ties Brexit
financial-times,Tower of secrets: the Russian money behind a Donald Trump skyscraper,The Trump Toronto reveals links between shadowy post-Soviet wealth and a future president,Tower secrets Russian money behind Donald Trump skyscraper Trump Toronto reveals links shadowy post Soviet wealth future president
financial-times,China switches strategy to deal with Trump tariffs,,China switches strategy deal Trump tariffs None
the-economist,Courts slap down the Trump administration’s immigration policies,The president returns to a policy he vowed he would end,Courts slap Trump administration immigration policies president returns policy vowed would end
the-economist,Are today’s young football stars worse than those before them?,"Fewer wunderkinder are breaking through, even as the old guard are losing their edge",today young football stars worse Fewer wunderkinder breaking even old guard losing edge
the-economist,The enduring influence of the Czech Republic’s communists,They could keep a minority government in power,enduring influence Czech Republic communists could keep minority government power
the-economist,Harald Szeemann and the art of exhibition-making,A new exhibition explores the auteur-curator’s profound influence on modern art,Harald Szeemann art exhibition making new exhibition explores auteur curator profound influence modern art
the-economist,China frees the widow of a Nobel peace-prize winner,It shows no sign of easing up in its treatment of other human-rights advocates,China frees widow Nobel peace prize winner shows sign easing treatment human rights advocates
the-economist,A cave rescue in Thailand shows Britain’s skill at spelunking,An IT consultant from Bristol and a retired fireman from Coventry helped to lead the operation,cave rescue Thailand shows Britain skill spelunking consultant Bristol retired fireman Coventry helped lead operation
the-economist,Deliverance for Thailand’s trapped footballers,The rescue is also a reprieve for the country’s hapless military regime,Deliverance Thailand trapped footballers rescue also reprieve country hapless military regime
the-economist,"Thanks to Boris Johnson, a farcical west-Balkan summit in London",A last blunder from an incompetent foreign secretary,Thanks Boris Johnson farcical west Balkan summit London last blunder incompetent foreign secretary
the-economist,Open Future Gender,"The Economist offers authoritative insight and opinion on international news, politics, business, finance, science, technology and the connections between them.",Open Future Gender Economist offers authoritative insight opinion international news politics business finance science technology connections
the-economist,The special relationship once enriched Britain’s politics. No longer,"America has become a source of bad ideas, polarisation and parochialism",special relationship enriched Britain politics longer America become source bad ideas polarisation parochialism
the-wall-street-journal,Europe Sees Trade Tensions With U.S. Eating Into Economic Growth,The European Union cut its 2018 eurozone growth forecast as the bloc’s nascent trade conflict with the U.S. and political upheavals within the EU threaten to derail the common-currency area’s economic momentum.,Europe Sees Trade Tensions US Eating Economic Growth European Union cut 2018 eurozone growth forecast bloc nascent trade conflict US political upheavals within EU threaten derail common currency area economic momentum
the-wall-street-journal,FBI’s Peter Strzok to Break His Silence,An FBI agent censured for sending anti-Trump text messages while he helped lead investigations into Hillary Clinton and President Trump will break his public silence Thursday in testimony before Congress.,FBI Peter Strzok Break Silence FBI agent censured sending anti Trump text messages helped lead investigations Hillary Clinton President Trump break public silence Thursday testimony Congress
the-wall-street-journal,Women Test Mexico’s ‘Macho’ Political Culture With Big Electoral Gains,"Female candidates made major gains in Mexico’s general election early this month, fueling significant shifts in a political landscape women long have lamented suffered from machismo.",Women Test Mexico Macho Political Culture Big Electoral Gains Female candidates made major gains Mexico general election early month fueling significant shifts political landscape women long lamented suffered machismo
the-wall-street-journal,Trump Makes Final Rounds at NATO Summit After Sharp Criticisms and Demands,"President Donald Trump arrived for the final hours of the NATO summit following a tense first day in which he pressured allies to double the military spending target, bashed Germany and criticized European border policy.",Trump Makes Final Rounds NATO Summit Sharp Criticisms Demands President Donald Trump arrived final hours NATO summit following tense first day pressured allies double military spending target bashed Germany criticized European border policy
the-wall-street-journal,Stormy Daniels Arrested in Ohio While Performing on Stage,"Stormy Daniels, the former adult film star who alleged a sexual affair with President Donald Trump, was arrested while performing at a strip club for violating an Ohio law by allowing a patron to touch her, according to her lawyer and a county correctional of…",Stormy Daniels Arrested Ohio Performing Stage Stormy Daniels former adult film star alleged sexual affair President Donald Trump arrested performing strip club violating Ohio law allowing patron touch according lawyer county correctional of…
the-wall-street-journal,Papa John’s Founder Schnatter Resigns as Chairman After Using Racial Slur,"Papa John’s International said its independent directors have accepted the resignation of John Schnatter as board chairman, after a report that he used a racial slur in a conference call.",Papa John Founder Schnatter Resigns Chairman Using Racial Slur Papa John International said independent directors accepted resignation John Schnatter board chairman report used racial slur conference call
the-wall-street-journal,Senate’s First Skirmish Over Supreme Court Pick Brett Kavanaugh: How Quickly to Move,"The first skirmishes in the battle over the nomination of Judge Brett Kavanaugh for the Supreme Court are about timing, as Republicans seek to hold hearings and install him on the court before the new term in October.",Senate First Skirmish Supreme Court Pick Brett Kavanaugh Quickly Move first skirmishes battle nomination Judge Brett Kavanaugh Supreme Court timing Republicans seek hold hearings install court new term October
the-wall-street-journal,"The Thai Cave Rescue, Before Its Triumph, Teetered on the Brink of Disaster",Divers nearly missed finding the trapped soccer team. Thai Navy ​SEALs had no cave diving experience. A critical pump broke. ‘I didn’t think anyone would be so crazy as to do this.’,Thai Cave Rescue Triumph Teetered Brink Disaster Divers nearly missed finding trapped soccer team Thai Navy ​SEALs cave diving experience critical pump broke think anyone would crazy
the-wall-street-journal,"This Time Around, Chinese Consumer Products Would Face Tariffs","The Trump administration is expanding the battlefield in its trade fight with China, moving beyond industrial goods to threaten tariffs for the first time on consumer products—including pocketbooks, luggage, sound systems and bicycles—illustrating how depende…",Time Around Chinese Consumer Products Would Face Tariffs Trump administration expanding battlefield trade fight China moving beyond industrial goods threaten tariffs first time consumer products—including pocketbooks luggage sound systems bicycles—illustrating depende…
the-wall-street-journal,Broadcom to Buy CA Technologies for $18.9 Billion,"Broadcom struck a deal to buy software company CA Technologies for nearly $19 billion, a surprise move that takes the chip-making giant in a new direction.",Broadcom Buy CA Technologies 189 Billion Broadcom struck deal buy software company CA Technologies nearly 19 billion surprise move takes chip making giant new direction
cnbc,"Trump blasts NATO members, sending leaders into emergency crisis session","U.S. President Donald Trump launched a fresh attack on NATO allies' failure to raise defense spending on Thursday, prompting leaders to huddle in a special session excluding other summit participants, sources told Reuters.",Trump blasts NATO members sending leaders emergency crisis session US President Donald Trump launched fresh attack NATO allies failure raise defense spending Thursday prompting leaders huddle special session excluding summit participants sources told Reuters
cnbc,"Microsoft gains Snowflake as a cloud partner, as some retailers demand Amazon alternatives",A key retailer played a role in hot start-up Snowflake deciding to bring its software to Microsoft's cloud.,Microsoft gains Snowflake cloud partner retailers demand Amazon alternatives key retailer played role hot start Snowflake deciding bring software Microsofts cloud
cnbc,US futures point to a rebound at the open after Dow snaps 4-day winning streak,"U.S. stock index futures indicated a higher open on Thursday, as investors focus on earnings and monitor developments at a NATO summit in Brussels, Belgium.",US futures point rebound open Dow snaps 4 day winning streak US stock index futures indicated higher open Thursday investors focus earnings monitor developments NATO summit Brussels Belgium
cnbc,Is the US-UK ‘special relationship’ still special?,"The U.S. and U.K. have prided themselves on sharing a cultural, political and commercial bond that has long been called “the special relationship.”  But with President Donald Trump tearing up the status quo in terms of trade and diplomacy, does that bond stil…",US UK special relationship still special US UK prided sharing cultural political commercial bond long called “the special relationship” President Donald Trump tearing status quo terms trade diplomacy bond stil…
cnbc,Trump’s visit to the UK could further ‘complicate’ Brexit for Theresa May,"The upcoming visit from President Donald Trump to the U.K. could bring fresh instability to Prime Minister Theresa May, at a time when political pressure is building within her own party.",Trump visit UK could complicate Brexit Theresa May upcoming visit President Donald Trump UK could bring fresh instability Prime Minister Theresa May time political pressure building within party
cnbc,"Stormy Daniels arrested in Ohio while performing, her attorney says","Stormy Daniels, the porn star who has made headlines for an alleged affair with Donald Trump, was arrested in Columbus, Ohio, according to her attorney.",Stormy Daniels arrested Ohio performing attorney says Stormy Daniels porn star made headlines alleged affair Donald Trump arrested Columbus Ohio according attorney
cnbc,Papa John's founder John Schnatter resigns as chairman of company's board after apologizing for racial slur,,Papa Johns founder John Schnatter resigns chairman companys board apologizing racial slur
cnbc,"Comcast increases cash offer for Sky to $34 billion, topping Twenty-First Century Fox","Comcast has raised its cash offer for the British television group, the latest move in an ongoing bidding war with rival Twenty-First Century Fox.",Comcast increases cash offer Sky 34 billion topping Twenty First Century Fox Comcast raised cash offer British television group latest move ongoing bidding war rival Twenty First Century Fox
cnbc,Broadcom reaches deal to acquire CA Technologies for $18.9 billion in cash,"Shares of CA Technologies soared more than 16 percent in extended trading, after the Wall Street Journal reported that Broadcom was close to acquiring the software company for about $18 billion.",Broadcom reaches deal acquire CA Technologies 189 billion cash Shares CA Technologies soared 16 percent extended trading Wall Street Journal reported Broadcom close acquiring software company 18 billion
cnbc,Trump demands NATO countries meet defense spending goals 'immediately',Trump also demanded that domestic defense spending goals by doubled for NATO allies.,Trump demands NATO countries meet defense spending goals immediately Trump also demanded domestic defense spending goals doubled NATO allies
financial-post,BDC Capital bets on four more startups led by women,The dollar figures of this week’s investments were not disclosed by BDC. So far they’ve invested $6.3 million of their fund in 14 companies,BDC Capital bets four startups led women dollar figures week investments disclosed BDC far invested 63 million fund 14 companies
financial-post,"The flattening yield curve has some worried about a recession, but not Poloz","The Fed has raised rates seven times since December 2015, and expectations are that it will do it twice more this year, raising the possibility that it will tilt the economy into recession",flattening yield curve worried recession Poloz Fed raised rates seven times since December 2015 expectations twice year raising possibility tilt economy recession
financial-post,"Hydro One board resigns, CEO retires as Premier Ford makes good on campaign promise",The company’s CFO Paul Dobson has been appointed as acting chief executive until the replacement board appoints a new CEO,Hydro One board resigns CEO retires Premier Ford makes good campaign promise company CFO Paul Dobson appointed acting chief executive replacement board appoints new CEO
financial-post,Porter Airlines introduces basic fare for bare-bones service on some flights,Porter is rolling out a new basic fare category as competition heats up between airlines chasing price-sensitive travellers,Porter Airlines introduces basic fare bare bones service flights Porter rolling new basic fare category competition heats airlines chasing price sensitive travellers
financial-post,What the Bank of Canada rate hike means for your mortgage and savings account,The decision will likely prompt Canada’s big banks to raise their prime rates,Bank Canada rate hike means mortgage savings account decision likely prompt Canada big banks raise prime rates
financial-post,Bank of Canada raises rates as Poloz’s tale of recovery from Great Recession finally starts coming true,"Kevin Carmichael: Beyond trade, the bigger story in decision is that most companies are responding to their order books rather than headlines in business pages",Bank Canada raises rates Poloz tale recovery Great Recession finally starts coming true Kevin Carmichael Beyond trade bigger story decision companies responding order books rather headlines business pages
financial-post,Postmedia’s digital ad revenues rise for sixth straight quarter amid $15.5M quarterly loss,"Digital revenue increased 7.2 per cent to $29.9 million, with digital advertising revenue up 10 per cent",Postmedia digital ad revenues rise sixth straight quarter amid 155M quarterly loss Digital revenue increased 72 per cent 299 million digital advertising revenue 10 per cent
financial-post,"Former Sino-Forest executives hit with sanctions, millions in penalties in OSC ruling","Former CEO was hit with a $5-million administrative penalty, in addition to being ordered to ‘disgorge’ nearly $60.3 million and to pay around $2 million in costs",Former Sino Forest executives hit sanctions millions penalties OSC ruling Former CEO hit 5 million administrative penalty addition ordered disgorge nearly 603 million pay around 2 million costs
financial-post,‘No question’: U.S. trade war is an early sign of a global financial crisis coming our way,‘We must remember we’re coming off from a period of cheap money’,question US trade war early sign global financial crisis coming way must remember coming period cheap money
financial-post,Trump’s $200-billion tariff barrage pushes China trade war to the point of no return,‘What’s next is not so much a trade war or even a cold war as the dawn of an ice age in relations between China and the United States’,Trump 200 billion tariff barrage pushes China trade war point return next much trade war even cold war dawn ice age relations China United States
