source,title,description,details
bloomberg,Brexit Brouhaha Can't Beat Dollar Weakness,The pound is looking through May’s political turmoil.,Brexit Brouhaha Cant Beat Dollar Weakness pound looking May political turmoil
bloomberg,Amazon as a Value Stock? Believe It,"It looks expensive, but the company’s disdain for Wall Street has made it cheap.",Amazon Value Stock Believe looks expensive company disdain Wall Street made cheap
bloomberg,Dreams of Goldman Doing Big Takeover Meet Stress Test’s Reality,"Almost 10 years after the financial crisis, Wall Street was starting to wonder aloud: Might Goldman Sachs Group Inc. or Morgan Stanley make a big acquisition?",Dreams Goldman Big Takeover Meet Stress Test Reality Almost 10 years financial crisis Wall Street starting wonder aloud Might Goldman Sachs Group Inc Morgan Stanley make big acquisition
bloomberg,Trump Making Supreme Court Pick to Cement Conservative Majority,"Donald Trump is poised to continue his remake of the U.S. Supreme Court, with a nomination to be announced Monday night that could solidify conservative jurisprudence for years.",Trump Making Supreme Court Pick Cement Conservative Majority Donald Trump poised continue remake US Supreme Court nomination announced Monday night could solidify conservative jurisprudence years
bloomberg,JPMorgan Maps Out Currencies to Buy If a Recession Is Coming,"If a U.S. or global recession is looming, it’s time to own the Swiss franc, Singapore dollar, U.S. dollar and Japanese yen -- and ditch emerging market currencies, according to analysts from JPMorgan Chase & Co.",JPMorgan Maps Currencies Buy Recession Coming US global recession looming time Swiss franc Singapore dollar US dollar Japanese yen ditch emerging market currencies according analysts JPMorgan Chase Co
bloomberg,North Korea Reminds Trump Its Nuclear Weapons Won’t Come Cheap,U.S. Secretary of State Mike Pompeo went to Pyongyang to get Kim Jong Un to give up his nuclear weapons. He left with a harsh reminder that the North Korean leader expects something in return.,North Korea Reminds Trump Nuclear Weapons Come Cheap US Secretary State Mike Pompeo went Pyongyang get Kim Jong Un give nuclear weapons left harsh reminder North Korean leader expects something return
bloomberg,"Canada’s Labor Force Grows Most in 6 Years, Raising Jobless Rate","Canada’s tight jobs market is beginning to bring more workers into the labor force, a trend that if sustained may moderate a recent pick up in wage pressures.",Canada Labor Force Grows 6 Years Raising Jobless Rate Canada tight jobs market beginning bring workers labor force trend sustained may moderate recent pick wage pressures
bloomberg,What’s Next for Hotelier After Buying the Trump Toronto? America,"InnVest Hotels LP, which added the former Toronto Trump hotel to its Canadian portfolio last year, is planning its first foray into the U.S.",Next Hotelier Buying Trump Toronto America InnVest Hotels LP added former Toronto Trump hotel Canadian portfolio last year planning first foray US
bloomberg,Trudeau Says Nothing ‘Untoward’ Led to Past Groping Allegation,,Trudeau Says Nothing Untoward Led Past Groping Allegation None
bloomberg,"Canada Strikes Back at Trump, and Condo Buyers Will Pay the Price",Condo buyers in Canada’s already pricey markets may be the next to pay up as the trade battle with the U.S. radiates through the construction industry.,Canada Strikes Back Trump Condo Buyers Pay Price Condo buyers Canada already pricey markets may next pay trade battle US radiates construction industry
reuters,"Fifth boy brought out of Thai cave on second day of rescue, official says","Rescue workers in Thailand brought out on Monday the fifth boy from a group of 12 and their soccer coach trapped for more than two weeks in a flooded cave complex, a navy official said, hours after the rescue mission resumed.",Fifth boy brought Thai cave second day rescue official says Rescue workers Thailand brought Monday fifth boy group 12 soccer coach trapped two weeks flooded cave complex navy official said hours rescue mission resumed
reuters,"Factbox: Who is Dominic Raab, Britain's new Brexit minister?",British Prime Minister Theresa May appointed Dominic Raab as the new Brexit minister on Monday after his predecessor quit in protest at the government's plans for a close trading relationship with the European Union,Factbox Dominic Raab Britains new Brexit minister British Prime Minister Theresa May appointed Dominic Raab new Brexit minister Monday predecessor quit protest governments plans close trading relationship European Union
reuters,Xiaomi's weak debut signals trouble for upcoming Hong Kong tech listings,"Xiaomi Corp made a weak debut in Hong Kong on Monday, with the Chinese smartphone maker's shares sliding as much as 6 percent on valuation concerns, in an ominous sign for its technology sector peers lining up listings in the city.",Xiaomis weak debut signals trouble upcoming Hong Kong tech listings Xiaomi Corp made weak debut Hong Kong Monday Chinese smartphone makers shares sliding much 6 percent valuation concerns ominous sign technology sector peers lining listings city
reuters,Myanmar court files secrets act charges against Reuters reporters,"A court in Myanmar on Monday charged two jailed Reuters journalists with obtaining secret state documents, moving the landmark press freedom case into its trial stage after six months of preliminary hearings.",Myanmar court files secrets act charges Reuters reporters court Myanmar Monday charged two jailed Reuters journalists obtaining secret state documents moving landmark press freedom case trial stage six months preliminary hearings
reuters,"Warning of 'weak' UK position, Brexit minister quits in blow to Britain's May","Brexit Secretary David Davis said on Monday he had resigned over ""dangerous"" British government plans for leaving the European Union in a blow to Prime Minister Theresa May that could complicate already fraught Brexit negotiations.",Warning weak UK position Brexit minister quits blow Britains May Brexit Secretary David Davis said Monday resigned dangerous British government plans leaving European Union blow Prime Minister Theresa May could complicate already fraught Brexit negotiations
reuters,EU calls on Myanmar to release Reuters reporters,The European Union on Monday called on Myanmar to drop charges against two Reuters reporters after a court charged them with obtaining secret state documents.,EU calls Myanmar release Reuters reporters European Union Monday called Myanmar drop charges two Reuters reporters court charged obtaining secret state documents
reuters,Rescuers carry person on stretcher to ambulance from Thai cave: Reuters witness,"Rescue workers in Thailand were seen carrying a person on a stretcher away from a cave complex and into a waiting ambulance on Monday, a Reuters witness said.",Rescuers carry person stretcher ambulance Thai cave Reuters witness Rescue workers Thailand seen carrying person stretcher away cave complex waiting ambulance Monday Reuters witness said
reuters,British PM May appoints Dominic Raab as new Brexit minister,British Prime Minister Theresa May appointed Dominic Raab as the new Brexit Secretary on Monday after his predecessor quit in protest at the government's plans for a close trading relationship with the European Union.,British PM May appoints Dominic Raab new Brexit minister British Prime Minister Theresa May appointed Dominic Raab new Brexit Secretary Monday predecessor quit protest governments plans close trading relationship European Union
reuters,EU's Verhofstadt: Brexit talks must move on after UK minister quits,The European Parliament's chief Brexit coordinator on Monday said the British government must unite on a way forward in talks for its exit from the European Union after its Brexit Secretary David Davis quit.,EUs Verhofstadt Brexit talks must move UK minister quits European Parliaments chief Brexit coordinator Monday said British government must unite way forward talks exit European Union Brexit Secretary David Davis quit
reuters,UK woman dies after poisoning by Soviet-era nerve agent,A British woman died on Sunday after she was poisoned by the same nerve agent that struck a former Russian spy in March and triggered a crisis in relations between Western capitals and Moscow.,UK woman dies poisoning Soviet era nerve agent British woman died Sunday poisoned nerve agent struck former Russian spy March triggered crisis relations Western capitals Moscow
financial-times,The careers adviser - how to ace an interview,Oxford University careers adviser Jonathan Black says that if you're in the room you deserve to be there - be confident. But don't forget the three key themes you should cover.,careers adviser ace interview Oxford University careers adviser Jonathan Black says youre room deserve confident dont forget three key themes cover
financial-times,Trump-Putin face nuclear options at Helsinki summit,Crumbling arms control treaties are priority for meeting of US and Russian leaders,Trump Putin face nuclear options Helsinki summit Crumbling arms control treaties priority meeting US Russian leaders
financial-times,‘A good living but a rough life’: trucker shortage holds US economy back,"Some 70 per cent of goods are transported by road, but a shortage of drivers and soaring demand could put a brake on growth",good living rough life trucker shortage holds US economy back 70 per cent goods transported road shortage drivers soaring demand could put brake growth
financial-times,US banks count on tax cut windfall to boost profits,,US banks count tax cut windfall boost profits None
financial-times,Apple slices into Spotify’s lead in US music market,,Apple slices Spotify lead US music market None
financial-times,Italy’s debts to European Central Bank near €500bn,Investors scrutinise eurozone imbalances as they await new government’s budget,Italy debts European Central Bank near €500bn Investors scrutinise eurozone imbalances await new government budget
financial-times,BlackRock and Citi plan Paris expansion in Macron coup,US fund manager chooses French capital as new base for alternative investment services,BlackRock Citi plan Paris expansion Macron coup US fund manager chooses French capital new base alternative investment services
financial-times,Yelp’s Jeremy Stoppelman on his Big Tech fightback,Founder has fought a long battle with Google to protect his start-up,Yelp Jeremy Stoppelman Big Tech fightback Founder fought long battle Google protect start
financial-times,UK government in disarray as Davis resigns as Brexit secretary,PM Theresa May suffers serious blow amid fears of a Tory uprising,UK government disarray Davis resigns Brexit secretary PM Theresa May suffers serious blow amid fears Tory uprising
financial-times,Explainer: issues at the heart of May’s soft-Brexit Chequers deal,Ambiguities remain in the PM’s vision that must eventually be confronted,Explainer issues heart May soft Brexit Chequers deal Ambiguities remain PM vision must eventually confronted
the-economist,Why bitcoin uses so much energy,Its consumption is roughly the same as Ireland’s,bitcoin uses much energy consumption roughly Ireland
the-economist,Britain’s new Brexit plan is savaged—by its own Brexit secretary,"David Davis quits, prompting renewed speculation about the prime minister’s own position",Britain new Brexit plan savaged—by Brexit secretary David Davis quits prompting renewed speculation prime minister position
the-economist,A court with a solid conservative majority could reshape American life,Here’s how,court solid conservative majority could reshape American life
the-economist,The boss of Pakistan’s ruling party is sentenced to ten years in jail,Nawaz Sharif says it is all an army-inspired ploy to prevent his PML-N winning this month’s election,boss Pakistan ruling party sentenced ten years jail Nawaz Sharif says army inspired ploy prevent PML N winning month election
the-economist,Italy’s government proposes to limit fixed-term job contracts,A new law reverses recent reforms and highlights the government’s split personality,Italy government proposes limit fixed term job contracts new law reverses recent reforms highlights government split personality
the-economist,North Korea presents nuclear disarmament’s biggest challenge yet,"Precedents, from Iraq to the former Soviet Union, offer only very limited lessons",North Korea presents nuclear disarmament biggest challenge yet Precedents Iraq former Soviet Union offer limited lessons
the-economist,Tomorrow’s squadron leaders will be accompanied by drones,Welcome to the wingbot,Tomorrow squadron leaders accompanied drones Welcome wingbot
the-economist,Japan is finally starting to admit more foreign workers,But it does almost nothing to integrate them,Japan finally starting admit foreign workers almost nothing integrate
the-economist,Culture and the labour market keep India’s women at home,How can they be helped to return to the workforce?,Culture labour market keep India women home helped return workforce
the-economist,Transgender identities: a series of invited essays,"As discussion about gender self-identification becomes heated, The Economist seeks to uphold the liberal value of open debate",Transgender identities series invited essays discussion gender self identification becomes heated Economist seeks uphold liberal value open debate
the-wall-street-journal,Theresa May Appoints Dominic Raab as New Brexit Secretary,The U.K. government said that Dominic Raab will replace David Davis as the minister in charge of negotiating Britain’s exit from the European Union.,Theresa May Appoints Dominic Raab New Brexit Secretary UK government said Dominic Raab replace David Davis minister charge negotiating Britain exit European Union
the-wall-street-journal,Thai Rescuers Race to Rescue Remaining Boys Trapped in Flooded Cave,Rescue divers went back into the flooded Tham Luang cave in northern Thailand to retrieve another group of the boys who have been trapped there for more than two weeks.,Thai Rescuers Race Rescue Remaining Boys Trapped Flooded Cave Rescue divers went back flooded Tham Luang cave northern Thailand retrieve another group boys trapped two weeks
the-wall-street-journal,U.S. Exporters Will Be a Surprise Loser From Tariff Fight,"Who’s the biggest loser when tariffs are imposed on imports? The surprising answer, writes Greg Ip: exporters.",US Exporters Surprise Loser Tariff Fight biggest loser tariffs imposed imports surprising answer writes Greg Ip exporters
the-wall-street-journal,Central Banks Try to Bolster Their Currencies. It’s Not Always Working,Central banks in some emerging market economies have started to spend down a $6 trillion stash of foreign reserves to contain currency declines.,Central Banks Try Bolster Currencies Always Working Central banks emerging market economies started spend 6 trillion stash foreign reserves contain currency declines
the-wall-street-journal,House Money: Wall Street Is Raising More Cash Than Ever for its Rental-Home Gambit,"Financiers who loaded up on homes after the housing bust are buying more, betting that high prices and skimpy inventory will make well-to-do families more willing to rent a house, especially if it means access to a good schools.",House Money Wall Street Raising Cash Ever Rental Home Gambit Financiers loaded homes housing bust buying betting high prices skimpy inventory make well families willing rent house especially means access good schools
the-wall-street-journal,Legacy Preferences Complicate Colleges’ Diversity Push,"Top colleges have pledged to become more socioeconomically diverse, but the admissions edge many give to children of alumni may make that goal harder to achieve.",Legacy Preferences Complicate Colleges Diversity Push Top colleges pledged become socioeconomically diverse admissions edge many give children alumni may make goal harder achieve
the-wall-street-journal,"When Three Brothers With a Blood Disorder Lost Their Jobs, the EEOC Sued","The difficulties of Anthony, Drew and Raymond West show the sometime hazard of working for contract-worker firms, which have less capacity than big companies to handle employee health-care costs.",Three Brothers Blood Disorder Lost Jobs EEOC Sued difficulties Anthony Drew Raymond West show sometime hazard working contract worker firms less capacity big companies handle employee health care costs
the-wall-street-journal,Chinese Smartphone Maker Xiaomi Falls in Hong Kong Trading Debut,"Shares in Chinese smartphone maker Xiaomi, which raised $4.7 billion in one of Hong Kong’s largest tech initial public offerings in recent years, fell on their debut as the broader market rose.",Chinese Smartphone Maker Xiaomi Falls Hong Kong Trading Debut Shares Chinese smartphone maker Xiaomi raised 47 billion one Hong Kong largest tech initial public offerings recent years fell debut broader market rose
the-wall-street-journal,Trump Takes a Final Look at Supreme Court Choices,"President Trump polled outside advisers about his Supreme Court nominee and appeared to favor different finalists as the day wore on, wrestling with a decision that is crucial to his legacy and that could tip the court’s yearslong balance firmly toward conser…",Trump Takes Final Look Supreme Court Choices President Trump polled outside advisers Supreme Court nominee appeared favor different finalists day wore wrestling decision crucial legacy could tip court yearslong balance firmly toward conser…
the-wall-street-journal,Summit Looms for a Strained NATO Alliance,European leaders brace for a tense meeting this week with a U.S. president who is imposing tariffs and chiding the allies for not spending more on their own defense. Trump advisers say the president is just trying to rebalance the relationship.,Summit Looms Strained NATO Alliance European leaders brace tense meeting week US president imposing tariffs chiding allies spending defense Trump advisers say president trying rebalance relationship
cnbc,Starbucks to ditch single-use plastic straws by 2020,Starbucks said Monday that it would eliminate single-use plastic straws from all of its cafes globally by 2020.,Starbucks ditch single use plastic straws 2020 Starbucks said Monday would eliminate single use plastic straws cafes globally 2020
cnbc,"US futures climb ahead of the open, as trade turmoil takes a breather","U.S. stock index futures posted solid gains ahead of Monday’s open, supported by positive trade overseas and a strong jobs report published Friday.",US futures climb ahead open trade turmoil takes breather US stock index futures posted solid gains ahead Monday open supported positive trade overseas strong jobs report published Friday
cnbc,The UK’s Brexit secretary just walked away from the job. Here’s what that means,"The resignation of a key driver of the U.K.’s Brexit process is a blow for British Prime Minister Theresa May, but analysts believe she can survive the departure.",UK Brexit secretary walked away job means resignation key driver UK Brexit process blow British Prime Minister Theresa May analysts believe survive departure
cnbc,"Consumer companies, desperate for growth, drove dealmaking to a 15-year high in 2017","In 2017, merger and acquisition deals among consumer goods businesses were up 45 percent from the previous year and reached a 15-year high, according to a survey from OC&C Strategy Consultants.",Consumer companies desperate growth drove dealmaking 15 year high 2017 2017 merger acquisition deals among consumer goods businesses 45 percent previous year reached 15 year high according survey OCC Strategy Consultants
